                            Vehicle Name            Vehicle Class  Top Speed (mph)  Price ($)
47              Mammoth Patriot Mil-Spec                      Off            96.00  1710000.0
48                    Vapid Caracara 4x4                      Off           103.25   875000.0
49                    Vapid Firebolt ASP                      Off           113.50  1894500.0
50                        Benefactor XLS                     SUVs           106.00   253000.0
51              Benefactor XLS (Armored)                     SUVs           108.50   522000.0
52               Declasse Granger 3600LX                     SUVs            97.50  2000000.0
53                          Enus Jubilee                     SUVs           116.25  1650000.0
54       Gallivanter Baller LE (Armored)                     SUVs           108.50   374000.0
55   Gallivanter Baller LE LWB (Armored)                     SUVs           108.00   513000.0
56               Gallivanter Baller ST-D                     SUVs           118.25  1715000.0
57                       Karin Everon RS                     SUVs           125.75  1665000.0
58                      Karin Woodlander                     SUVs           112.50  1611000.0
59                        Vapid Aleutian                     SUVs           113.25  1835000.0
60                       Vapid Contender                     SUVs           109.00   250000.0
61                           Annis Hardy                   Sedans           128.25  1380000.0
62     Benefactor Schafter LWB (Armored)                   Sedans           108.00   438000.0
63                       Dinka Chavos V6                   Sedans           115.50  1420000.0
64                      Enus Cognoscenti                   Sedans           110.50   254000.0
65            Enus Cognoscenti (Armored)                   Sedans           110.25   558000.0
66                   Enus Cognoscenti 55                   Sedans           113.25   154000.0
67         Enus Cognoscenti 55 (Armored)                   Sedans           113.00   396000.0
68                            Enus Deity                   Sedans           115.00  1845000.0
69                         Vapid Stanier                   Sedans           109.00    10000.0
70                          Albany V-STR                   Sports           125.25  1285000.0
71                            Annis 300R                   Sports           120.00  2075000.0
72                     Bollokan Envisage                   Sports           122.00  2472000.0
73                   Bravado Banshee GTS                   Sports           138.00  1989500.0
74                     Bravado Buffalo S                   Sports           113.00    96000.0
75                           Coil Raiden                   Sports           113.25  1375000.0
76                 Dewbauchee Rapid GT X                   Sports           132.25  2705500.0
77                        Enus Paragon R                   Sports           123.00   905000.0
78                        Enus Paragon S                   Sports           127.50  2010000.0
79                     Grotti Stinger TT                   Sports           132.00  2380000.0
80                  Invetero Coquette D5                   Sports           130.75  1730000.0
81                          Karin Kuruma                   Sports           113.00   126350.0
82                              Obey 10F                   Sports           126.00  1675000.0
83                     Obey 10F Widebody                   Sports           128.00   575000.0
84                               Obey 9F                   Sports           121.25   120000.0
85                        Obey 9F Cabrio                   Sports           121.25   130000.0
86                       Obey Omnis e-GT                   Sports           111.50  1795000.0
87                        Ocelot Jugular                   Sports           125.00  1225000.0
88                         Ocelot Locust                   Sports           119.50  1625000.0
89                      Overflod Imorgon                   Sports           106.75  2165000.0
90                    Penaud La Coureuse                   Sports           114.50  1990000.0
91                         Pfister Comet                   Sports           119.75   100000.0
92               Pfister Comet S2 Cabrio                   Sports           129.25  1797000.0
93                      Pfister Comet SR                   Sports           122.00  1145000.0
94                            Vysser Neo                   Sports           125.25  1875000.0
95                    Übermacht Revolter                   Sports           116.75  1610000.0
96                Übermacht Sentinel GTS                   Sports           132.25  2172000.0
97                        Annis Savestra          Sports Classics           118.00   990000.0
98                    Dewbauchee JB 700W          Sports Classics           120.00  1470000.0
99                     Grotti Stinger GT          Sports Classics           112.25   875000.0
100                    Lampadati Viseris          Sports Classics           124.00   875000.0
101                       Ocelot Swinger          Sports Classics           117.00   909000.0
102                       Pegassi Torero          Sports Classics           116.50   998000.0
103                        RUNE Cheburek          Sports Classics           108.50   145000.0
104                      Truffade Z-Type          Sports Classics           127.00   950000.0
105                Vapid Uranus LozSpeed          Sports Classics           118.25  1140000.0
106               Übermacht Zion Classic          Sports Classics           112.75   812000.0
107              Benefactor Schafter LWB           Sports, Sedans           109.25   208000.0
108               Benefactor Stirling GT  Sports, Sports Classics           113.00   975000.0
109                          Annis Euros           Sports, Tuners           117.25  1800000.0
110                          Annis Remus           Sports, Tuners           115.50  1370000.0
111                      Dinka Jester RR           Sports, Tuners           126.00  1970000.0
112      Dinka LSCM Jester RR (Widebody)           Sports, Tuners           118.25  2290000.0
113                     Karin Calico GTF           Sports, Tuners           121.00  1995000.0
114                       Karin Futo GTX           Sports, Tuners           112.50  1590000.0
115                     Pfister Comet S2           Sports, Tuners           122.50  1878000.0
116                          Annis RE-7B                    Super           123.50  2475000.0
117                          Annis S80RR                    Super           123.00  2575000.0
118                   Benefactor Krieger                    Super           128.00  2875000.0
119                         Coil Cyclone                    Super           116.00  1890000.0
120                  Dewbauchee Champion                    Super           125.00  3750000.0
121                         Emperor ETR1                    Super           121.25  1995000.0
122               Grotti Turismo Omaggio                    Super           122.50  2845000.0
123                      Lampadati Tigon                    Super           125.50  2310000.0
124                        Ocelot Virtue                    Super           119.50  2980000.0
125                         Ocelot XA-21                    Super           122.50  2375000.0
126                   Overflod Entity MT                    Super           131.25  2355000.0
127                 Overflod Pipistrello                    Super           117.75  2950000.0
128                     Pegassi Infernus                    Super           118.00   440000.0
129                    Pegassi Torero XO                    Super           131.50  2890000.0
130             Pegassi Weaponized Ignus                    Super           125.00  4500000.0
131                     Pegassi Zentorno                    Super           122.25   725000.0
132                     Pegassi Zorrusso                    Super           125.00  1925000.0
133                          Pfister 811                    Super           130.75  1135000.0
134               Principe Deveste Eight                    Super           131.25  1795000.0
135                           Progen GP1                    Super           123.75  1260000.0
136                         Progen Tyrus                    Super           123.25  2550000.0
137                        Übermacht SC1                    Super           121.75  1603000.0
138                 Bravado Rumpo Custom                     Vans            98.75   130000.0
